x_query,y_spline_deg2,y_spline_deg3
0.0,2.1,2.1
0.02512562814070352,2.2557002917830853,2.336463222317661
0.05025125628140704,2.410627553968483,2.5655254632293816
0.07537688442211056,2.564781786556192,2.7873823508424516
0.10050251256281408,2.718162989546214,3.0022295132641577
0.1256281407035176,2.870771162938548,3.210262578601789
0.15075376884422112,3.022606306733193,3.411677174962632
0.17587939698492464,3.173668420930151,3.606668930453976
0.20100502512562815,3.323957505529421,3.79543347318311
0.22613065326633167,3.4734735605310028,3.978166431257321
0.2512562814070352,3.6222165859348974,4.155063432783898
0.2763819095477387,3.7701865817411035,4.326320105870126
0.30150753768844224,3.9173835479496213,4.492132078623298
0.32663316582914576,4.063807484560452,4.652694979150699
0.35175879396984927,4.209458391573595,4.808204435559617
0.3768844221105528,4.354336268989048,4.958856075957342
0.4020100502512563,4.498441116806815,5.104845528451159
0.4271356783919598,4.641772935026894,5.246368421148361
0.45226130653266333,4.784331723649285,5.383620382156232
0.47738693467336685,4.926117482673987,5.516797039582061
0.5025125628140704,5.067130212101002,5.646094021533137
0.5276381909547739,5.207369911930329,5.771706956116748
0.5527638190954774,5.346836582161967,5.893831471440181
0.577889447236181,5.485530222795919,6.012663195610725
0.6030150753768845,5.623450833832181,6.1283977567356684
0.628140703517588,5.760598415270757,6.2412307829222975
0.6532663316582915,5.896972967111645,6.351357902277905
0.678391959798995,6.032574489354844,6.458974742909774
0.7035175879396985,6.167402982000356,6.564276932925194
0.7286432160804021,6.30145844504818,6.667460100431454
0.7537688442211056,6.434740878498315,6.768719873535842
0.7788944723618091,6.567250282350762,6.868251880345648
0.8040201005025126,6.698986656605522,6.966251748968155
0.8291457286432161,6.829950001262594,7.062915107510654
0.8542713567839196,6.9601403163219775,7.158437584080434
0.8793969849246231,7.089557601783674,7.253014806784783
0.9045226130653267,7.218201857647683,7.346842403730988
0.9296482412060302,7.346073083914003,7.440116003026336
0.9547738693467337,7.473171280582634,7.53303123277812
0.9798994974874372,7.599496447653579,7.625783721093624
1.0050251256281408,7.725048585126837,7.718569096080134
1.0301507537688444,7.849827693002406,7.811582985844944
1.0552763819095479,7.973833771280286,7.905021018495338
1.0804020100502514,8.097066819960478,7.999078822138605
1.105527638190955,8.219526839042983,8.093952024882034
1.1306532663316584,8.341213828527799,8.189836254832915
1.155778894472362,8.462127788414929,8.28692714009853
1.1809045226130654,8.58226871870437,8.385420308786172
1.206030150753769,8.701636619396123,8.485511389003129
1.2311557788944725,8.820231490490189,8.587396008856688
1.256281407035176,8.938053331986566,8.691269796454137
1.2814070351758795,9.055102143885255,8.797328379902762
1.306532663316583,9.171377926186256,8.905767387309856
1.3316582914572865,9.28688067888957,9.016782446782704
1.35678391959799,9.401610401995196,9.130569186428595
1.3819095477386936,9.515567095503133,9.247323234354816
1.407035175879397,9.628750759413384,9.367240218668657
1.4321608040201006,9.741161393725944,9.490515767477405
1.4572864321608041,9.852798998440818,9.617345508888347
1.4824120603015076,9.963663573558005,9.747925071008773
1.5075376884422111,10.074101589829134,9.882450081945972
1.5326633165829147,10.189579585779919,10.021116169807225
1.5577889447236182,10.311983902169237,10.164118962699833
1.5829145728643217,10.441314538997084,10.311654088731073
1.6080402010050252,10.577571496263463,10.463917176008236
1.6331658291457287,10.720754773968375,10.621103852638614
1.6582914572864322,10.870864372111814,10.78340974672949
1.6834170854271358,11.027900290693786,10.951030486388154
1.7085427135678393,11.191862529714292,11.124161699721894
1.7336683417085428,11.362751089173326,11.302999014838
1.7587939698492463,11.540565969070892,11.48773805984376
1.7839195979899498,11.725307169406989,11.678574462846457
1.8090452261306533,11.91697469018162,11.875703851953386
1.8341708542713568,12.11556853139478,12.079321855271829
1.8592964824120604,12.321088693046471,12.289624100909082
1.8844221105527639,12.533535175136693,12.506806216972425
1.9095477386934674,12.752907977665448,12.731063831569148
1.934673366834171,12.979207100632733,12.96259257280654
1.9597989949748744,13.212432544038549,13.201588068791894
1.984924623115578,13.452584307882896,13.448245947632492
2.0100502512562817,13.699662392165777,13.702756829356078
2.035175879396985,13.953666796887186,13.965116644898016
2.0603015075376887,14.214597522047127,14.235068417176578
2.085427135678392,14.482454567645599,14.51233826684156
2.1105527638190957,14.757237933682603,14.796652314542754
2.1356783919597992,15.038947620158138,15.087736680929966
2.1608040201005028,15.327583627072203,15.385317486652982
2.1859296482412063,15.623145954424801,15.689120852361603
2.21105527638191,15.92563460221593,15.998872898705628
2.2361809045226133,16.23504957044559,16.31429974633485
2.261306532663317,16.55139085911378,16.635127515899068
2.2864321608040203,16.8746584682205,16.96108232804808
2.311557788944724,17.204852397765755,17.291890303431675
2.3366834170854274,17.54197264774954,17.627277562699657
2.361809045226131,17.886019218171853,17.966970226501818
2.3869346733668344,18.236992109032702,18.310694415487962
2.412060301507538,18.594891320332078,18.65817625030788
2.4371859296482414,18.959716852069988,19.009141851611368
2.462311557788945,19.33146870424643,19.363317340048223
2.4874371859296485,19.7101468768614,19.72042883626824
2.512562814070352,20.09464845658978,20.080202460921225
2.5376884422110555,20.47835596348082,20.442364334656965
2.562814070351759,20.860166484209405,20.80664057812526
2.5879396984924625,21.240080018775526,21.172757311975904
2.613065326633166,21.618096567179183,21.5404406568587
2.6381909547738696,21.99421612942038,21.90941673342344
2.663316582914573,22.36843870549912,22.27941166231992
2.6884422110552766,22.740764295415396,22.650151564197937
2.71356783919598,23.111192899169215,23.021362559707285
2.7386934673366836,23.479724516760573,23.392770769497766
2.763819095477387,23.846359148189467,23.76410231421918
2.7889447236180906,24.211096793455905,24.135083314521314
2.814070351758794,24.573937452559875,24.50543989105397
2.8391959798994977,24.934881125501388,24.874898164466938
2.864321608040201,25.29392781228044,25.24318425541003
2.8894472361809047,25.65107751289703,25.610024284533026
2.9145728643216082,26.006330227351164,25.97514437248573
2.9396984924623117,26.35968595564283,26.338270639917944
2.9648241206030153,26.711144697772042,26.69912920747945
2.9899497487437188,27.060706453738792,27.057446195820056
3.0150753768844223,27.408371223543078,27.412963942630928
3.040201005025126,27.754139007184907,27.765667440592612
3.0653266331658293,28.098009804664272,28.115728478676985
3.090452261306533,28.439983615981177,28.46332365090522
3.1155778894472363,28.780060441135625,28.80862955129849
3.14070351758794,29.11824028012761,29.151822773877978
3.1658291457286434,29.454523132957128,29.49307991266485
3.190954773869347,29.788908999624198,29.832577561680278
3.2160804020100504,30.121397880128796,30.170492314945434
3.241206030150754,30.451989774470935,30.5070007664815
3.2663316582914574,30.780684682650616,30.842279510309645
3.291457286432161,31.107482604667833,31.17650514045105
3.3165829145728645,31.432383540522597,31.509854250926868
3.341708542713568,31.755387490214897,31.84250343575829
3.3668341708542715,32.07649445374473,32.17462928896649
3.391959798994975,32.39570443111211,32.50640840457264
3.4170854271356785,32.71301742231702,32.838017376597904
3.442211055276382,33.02843342735948,33.16963279906346
3.4673366834170856,33.341952446239475,33.50143126599049
3.492462311557789,33.65357447895701,33.83358937140015
3.5175879396984926,33.964979642522394,34.16628370931364
3.542713567839196,34.28103684745532,34.499690873752115
3.5678391959798996,34.60205468667606,34.83398745873675
3.592964824120603,34.92803316018461,35.16935005828872
3.6180904522613067,35.25897226798096,35.505955266429204
3.64321608040201,35.5948720100651,35.84397967717937
3.6683417085427137,35.93573238643706,36.18359988456039
3.693467336683417,36.28155339709683,36.52499248259344
3.7185929648241207,36.632335042044396,36.86833406529969
3.7437185929648242,36.98807732127977,37.213801226700326
3.7688442211055277,37.348780234802945,37.56157056081651
3.7939698492462313,37.71444378261393,37.91181866166942
3.819095477386935,38.085067964712714,38.26472212328023
3.8442211055276383,38.46065278109931,38.620457539670106
3.869346733668342,38.8411982317737,38.97920150486023
3.8944723618090453,39.22670431673591,39.34113061287177
3.919597989949749,39.61717103598592,39.70642145772591
3.9447236180904524,40.01259838952374,40.075250633443815
3.969849246231156,40.412986377349355,40.44779473404666
3.9949748743718594,40.81833499946278,40.82423035355561
4.020100502512563,41.22864425586402,41.204734085991866
4.045226130653266,41.64391414655304,41.58948252537657
4.07035175879397,42.06414467152989,41.978652265730915
4.0954773869346734,42.48933583079453,42.37241990107605
4.120603015075377,42.919487624346985,42.77096202543319
4.1457286432160805,43.35460005218724,43.17445523282347
4.170854271356784,43.7946731143153,43.583076117268085
4.1959798994974875,44.23970681073116,43.9970012727882
4.2211055276381915,44.68970114143484,44.416407293404994
4.2462311557788945,45.144656106426304,44.841470773139626
4.2713567839195985,45.604571705705595,45.272368306013306
4.296482412060302,46.06944793927268,45.70927648604715
4.3216080402010055,46.53928480712757,46.15237190726239
4.346733668341709,47.014082309270265,46.60183116368016
4.371859296482413,47.49384044570077,47.05783084932166
4.396984924623116,47.97855921641907,47.520547558208044
4.42211055276382,48.46823862142519,47.99015788436049
4.447236180904523,48.962878660719106,48.46683842180017
4.472361809045227,49.46247933430083,48.95076576454829
4.49748743718593,49.96704064217035,49.44211650662596
4.522613065326634,50.476562584327695,49.941067242054416
4.547738693467337,50.99104516077283,50.44779456485478
4.572864321608041,51.51048837150578,50.962475069048274
4.597989949748744,52.034892216526515,51.48528534865603
4.623115577889448,52.56425669583507,52.01640199769926
4.648241206030151,53.09858180943144,52.55600161019909
4.673366834170855,53.637867557315595,53.10426078017675
4.698492462311558,54.182113939487564,53.66135610165336
4.723618090452262,54.731320955947346,54.227464168650144
4.748743718592965,55.28548860669492,54.80276157518822
4.773869346733669,55.84461689173031,55.38742491528881
4.798994974874372,56.4087058110535,55.981630782973056
4.824120603015076,56.977755364664496,56.58555577226217
4.849246231155779,57.55176555256329,57.19937647717727
4.874371859296483,58.1307363747499,57.82326949173958
4.899497487437186,58.714667831224304,58.45741140997024
4.92462311557789,59.30355992198653,59.10197882589045
4.949748743718593,59.897412647036546,59.75714833352134
4.974874371859297,60.49622600637437,60.42309652688416
5.0,61.1,61.1
